epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6872.91,1.83635,2.31661,1.77641,0.42694,0.42361,0.39709,0.16858,1.89538,2.29222,1.88204,0.008614,0.008614,0.008614
44,7030.93,1.83618,2.29405,1.77461,0.45617,0.44387,0.40558,0.17346,1.89182,2.28856,1.87039,0.008581,0.008581,0.008581
45,7188.96,1.84702,2.30832,1.79012,0.43637,0.43611,0.41239,0.17659,1.9,2.26413,1.87705,0.008548,0.008548,0.008548
46,7347.23,1.84131,2.32914,1.77876,0.44924,0.43277,0.41423,0.17716,1.90806,2.25287,1.87518,0.008515,0.008515,0.008515
47,7505.4,1.84649,2.29891,1.77459,0.46102,0.42778,0.40984,0.17932,1.91155,2.24661,1.87826,0.008482,0.008482,0.008482
48,7663.68,1.82715,2.31351,1.7554,0.46124,0.42639,0.40635,0.17648,1.9193,2.25744,1.88263,0.008449,0.008449,0.008449
49,7822.01,1.83308,2.25695,1.77473,0.44703,0.41944,0.40162,0.17374,1.91954,2.25451,1.88461,0.008416,0.008416,0.008416
50,7981.1,1.82476,2.27791,1.76417,0.45266,0.42083,0.40261,0.17171,1.90051,2.25766,1.87939,0.008383,0.008383,0.008383
51,8139.32,1.8254,2.30364,1.76679,0.4617,0.41693,0.40628,0.17292,1.89018,2.26511,1.87456,0.00835,0.00835,0.00835
52,8297.19,1.83147,2.31633,1.77046,0.46017,0.425,0.41307,0.17719,1.88609,2.26597,1.87142,0.008317,0.008317,0.008317
53,8455.17,1.84169,2.28394,1.77799,0.46238,0.42524,0.41762,0.17747,1.88216,2.28852,1.87123,0.008284,0.008284,0.008284
54,8613.05,1.81425,2.28008,1.77117,0.45795,0.42083,0.41333,0.17809,1.87789,2.30584,1.87295,0.008251,0.008251,0.008251
55,8770.81,1.84311,2.3095,1.78567,0.45607,0.42778,0.41369,0.17801,1.88028,2.31276,1.87898,0.008218,0.008218,0.008218
56,8929.18,1.8046,2.26158,1.75161,0.4514,0.43333,0.41404,0.17747,1.88323,2.31274,1.87975,0.008185,0.008185,0.008185
57,9087,1.82377,2.24206,1.76207,0.45051,0.42917,0.41021,0.17539,1.88445,2.30726,1.87806,0.008152,0.008152,0.008152
58,9244.96,1.80774,2.26445,1.76189,0.45685,0.42639,0.40578,0.17527,1.88364,2.30196,1.87807,0.008119,0.008119,0.008119
59,9403.17,1.82355,2.28782,1.76806,0.45553,0.42762,0.40502,0.17345,1.8886,2.31804,1.8799,0.008086,0.008086,0.008086
60,9561.41,1.81708,2.26607,1.756,0.45867,0.42639,0.40646,0.17201,1.89134,2.30958,1.87939,0.008053,0.008053,0.008053
61,9719.22,1.81328,2.26723,1.74993,0.45398,0.42917,0.40578,0.17202,1.88855,2.31401,1.87718,0.00802,0.00802,0.00802
62,9877.24,1.82024,2.21662,1.75575,0.4588,0.42387,0.40456,0.17188,1.88933,2.30402,1.87974,0.007987,0.007987,0.007987
63,10035.2,1.80107,2.2352,1.76138,0.45896,0.42222,0.40786,0.17345,1.88975,2.30096,1.8824,0.007954,0.007954,0.007954
64,10193.1,1.80222,2.25884,1.75076,0.45852,0.41806,0.40665,0.17293,1.88897,2.30121,1.88214,0.007921,0.007921,0.007921
65,10351,1.8063,2.23762,1.74711,0.45857,0.41806,0.40803,0.1743,1.88775,2.29716,1.88091,0.007888,0.007888,0.007888
66,10509,1.7934,2.2029,1.73749,0.45376,0.41944,0.40842,0.17295,1.88813,2.2973,1.88087,0.007855,0.007855,0.007855
67,10667.3,1.79225,2.23842,1.74004,0.45356,0.41806,0.40798,0.17334,1.88956,2.30002,1.88026,0.007822,0.007822,0.007822
68,10825.4,1.79163,2.2312,1.74216,0.45761,0.41528,0.40854,0.17352,1.88937,2.2994,1.87946,0.007789,0.007789,0.007789
69,10983.5,1.80707,2.2583,1.75081,0.45848,0.41667,0.40888,0.17401,1.88752,2.29605,1.88009,0.007756,0.007756,0.007756
70,11142,1.79717,2.2299,1.73766,0.46427,0.41667,0.4103,0.17463,1.88867,2.29316,1.87951,0.007723,0.007723,0.007723
71,11300,1.79256,2.24343,1.74133,0.46719,0.41111,0.41185,0.17551,1.88773,2.29256,1.87899,0.00769,0.00769,0.00769
72,11458.1,1.80502,2.24061,1.75137,0.46589,0.40972,0.41275,0.17676,1.8853,2.29336,1.87819,0.007657,0.007657,0.007657
73,11616.6,1.80668,2.23407,1.74889,0.46748,0.41333,0.41039,0.17593,1.88583,2.29195,1.87857,0.007624,0.007624,0.007624
74,11775,1.79235,2.20054,1.71943,0.46657,0.41667,0.41131,0.17709,1.88618,2.28914,1.87681,0.007591,0.007591,0.007591
75,11933.2,1.78376,2.21605,1.72879,0.46501,0.41528,0.40932,0.17587,1.88451,2.28908,1.87595,0.007558,0.007558,0.007558
76,12091.3,1.80224,2.23382,1.73806,0.46916,0.41667,0.41166,0.17638,1.88418,2.28838,1.87535,0.007525,0.007525,0.007525
77,12249.2,1.78434,2.22464,1.74011,0.46929,0.41758,0.41125,0.17693,1.88487,2.28477,1.87601,0.007492,0.007492,0.007492
78,12407.2,1.77791,2.19577,1.72967,0.46513,0.41667,0.41129,0.17767,1.88462,2.28391,1.87675,0.007459,0.007459,0.007459
79,12565,1.79318,2.21584,1.72659,0.4627,0.4125,0.41198,0.17759,1.88399,2.28372,1.87718,0.007426,0.007426,0.007426
80,12723.2,1.78899,2.20648,1.73736,0.45991,0.42361,0.4105,0.17774,1.88384,2.28354,1.87718,0.007393,0.007393,0.007393
81,12881.2,1.78287,2.19587,1.73337,0.45957,0.42778,0.41244,0.17817,1.88344,2.28454,1.87583,0.00736,0.00736,0.00736
82,13039.3,1.77715,2.20411,1.74648,0.45859,0.42234,0.41416,0.17864,1.88364,2.2831,1.8761,0.007327,0.007327,0.007327
83,13197.3,1.78293,2.17628,1.74348,0.4626,0.41667,0.41247,0.18018,1.88442,2.28337,1.87659,0.007294,0.007294,0.007294
84,13355.5,1.77396,2.18451,1.73592,0.46405,0.41944,0.41478,0.18008,1.88508,2.28256,1.87657,0.007261,0.007261,0.007261
85,13513.6,1.77455,2.15319,1.7236,0.46353,0.41806,0.41421,0.17966,1.8857,2.28396,1.87719,0.007228,0.007228,0.007228
86,13671.8,1.78821,2.18856,1.7315,0.46593,0.42166,0.41476,0.1787,1.88578,2.28456,1.87693,0.007195,0.007195,0.007195
87,13829.8,1.79036,2.13674,1.72175,0.46673,0.42639,0.41521,0.17982,1.88669,2.28253,1.87735,0.007162,0.007162,0.007162
88,13987.8,1.77492,2.18269,1.73589,0.46157,0.42361,0.41566,0.17968,1.88643,2.28308,1.87717,0.007129,0.007129,0.007129
89,14145.7,1.76511,2.18988,1.72555,0.46147,0.42607,0.41627,0.18082,1.88763,2.28129,1.87816,0.007096,0.007096,0.007096
90,14303.7,1.78849,2.19302,1.72392,0.46304,0.42361,0.41612,0.18066,1.88752,2.27884,1.87777,0.007063,0.007063,0.007063
91,14461.8,1.76157,2.14052,1.71177,0.46192,0.42778,0.41781,0.18137,1.88702,2.27941,1.8774,0.00703,0.00703,0.00703
92,14619.9,1.76489,2.15925,1.71643,0.45997,0.42917,0.41842,0.18149,1.88667,2.27957,1.87725,0.006997,0.006997,0.006997
93,14778,1.76885,2.15278,1.71396,0.45919,0.42639,0.41769,0.18098,1.88653,2.27927,1.87726,0.006964,0.006964,0.006964
94,14936.4,1.76151,2.15429,1.70612,0.46203,0.425,0.41731,0.18069,1.88644,2.2785,1.87683,0.006931,0.006931,0.006931
95,15094.7,1.76747,2.15192,1.71642,0.47076,0.42499,0.41901,0.18129,1.88614,2.27988,1.87664,0.006898,0.006898,0.006898
96,15252.9,1.76318,2.14097,1.70747,0.47221,0.43056,0.41892,0.1808,1.88562,2.28048,1.87609,0.006865,0.006865,0.006865
97,15411.4,1.77332,2.14994,1.71428,0.47292,0.42917,0.41931,0.18081,1.88561,2.28041,1.87632,0.006832,0.006832,0.006832
98,15569.6,1.76131,2.16513,1.71254,0.4665,0.42917,0.41864,0.18104,1.88532,2.28128,1.8761,0.006799,0.006799,0.006799
99,15727.7,1.75665,2.16735,1.70066,0.4688,0.43024,0.4191,0.18111,1.88502,2.2802,1.87571,0.006766,0.006766,0.006766
100,15885.7,1.74433,2.15885,1.70737,0.46763,0.42917,0.41854,0.18087,1.88514,2.27866,1.87584,0.006733,0.006733,0.006733
101,16043.6,1.76272,2.15526,1.7163,0.4676,0.42778,0.41869,0.18079,1.88596,2.28108,1.87622,0.0067,0.0067,0.0067
102,16201.5,1.75185,2.17624,1.70918,0.46658,0.43128,0.41844,0.18095,1.88493,2.28259,1.8756,0.006667,0.006667,0.006667
103,16359.6,1.75121,2.1382,1.70737,0.46747,0.425,0.41771,0.18083,1.88469,2.28428,1.87521,0.006634,0.006634,0.006634
104,16517.7,1.75476,2.14064,1.72161,0.47278,0.42917,0.41758,0.18003,1.88482,2.2823,1.87585,0.006601,0.006601,0.006601
105,16675.9,1.74235,2.14434,1.7014,0.46731,0.43056,0.41844,0.18046,1.88486,2.28601,1.87595,0.006568,0.006568,0.006568
106,16834.1,1.74266,2.13419,1.70181,0.46998,0.4335,0.42118,0.18043,1.88534,2.2852,1.87633,0.006535,0.006535,0.006535
107,16992.3,1.74709,2.10836,1.69419,0.47208,0.43194,0.42058,0.18046,1.88716,2.2835,1.87904,0.006502,0.006502,0.006502
108,17150.4,1.7413,2.12003,1.70335,0.46611,0.43333,0.42112,0.18095,1.8867,2.28236,1.87863,0.006469,0.006469,0.006469
109,17308.9,1.74387,2.13197,1.69988,0.46599,0.43472,0.42032,0.18004,1.8862,2.28126,1.87874,0.006436,0.006436,0.006436
110,17466.9,1.76324,2.10209,1.7161,0.46774,0.43194,0.42056,0.18026,1.88692,2.27948,1.87878,0.006403,0.006403,0.006403
111,17625,1.73204,2.11749,1.69604,0.46657,0.43194,0.42113,0.18133,1.88704,2.27832,1.87924,0.00637,0.00637,0.00637
