epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
188,29803.5,1.56912,1.78356,1.57471,0.46737,0.43889,0.42599,0.18311,1.9502,2.21633,1.94093,0.003829,0.003829,0.003829
189,29961.7,1.5662,1.76187,1.56282,0.46104,0.44167,0.42538,0.18301,1.95129,2.21356,1.94177,0.003796,0.003796,0.003796
190,30119.8,1.5502,1.76535,1.55384,0.46497,0.44028,0.42543,0.18294,1.95357,2.21144,1.94338,0.003763,0.003763,0.003763
191,30278.3,1.56553,1.75738,1.56609,0.46391,0.44167,0.42609,0.18264,1.9553,2.2105,1.9452,0.00373,0.00373,0.00373
192,30436.5,1.5559,1.76064,1.55123,0.45386,0.44306,0.42255,0.18228,1.95763,2.20671,1.94769,0.003697,0.003697,0.003697
193,30594.3,1.55785,1.75984,1.55487,0.45455,0.44306,0.42276,0.18225,1.96017,2.20553,1.9493,0.003664,0.003664,0.003664
194,30752.5,1.54368,1.74067,1.54555,0.45341,0.44306,0.42177,0.18191,1.96343,2.20983,1.95177,0.003631,0.003631,0.003631
195,30910.5,1.54512,1.75163,1.55778,0.45316,0.45,0.42356,0.18251,1.96429,2.20786,1.95341,0.003598,0.003598,0.003598
196,31068.4,1.54409,1.72652,1.55642,0.45904,0.44583,0.42458,0.18196,1.96584,2.2084,1.95584,0.003565,0.003565,0.003565
197,31226.2,1.53392,1.73724,1.55275,0.45741,0.44583,0.42351,0.18195,1.96789,2.20385,1.95646,0.003532,0.003532,0.003532
198,31383.9,1.53225,1.69385,1.53958,0.45511,0.44306,0.42231,0.18142,1.96947,2.20108,1.95837,0.003499,0.003499,0.003499
199,31542.2,1.52285,1.69585,1.52762,0.44597,0.45278,0.4223,0.18067,1.972,2.19933,1.96084,0.003466,0.003466,0.003466
200,31700.6,1.51242,1.6663,1.52491,0.44522,0.45139,0.42173,0.18096,1.97417,2.19664,1.96334,0.003433,0.003433,0.003433
201,31858.3,1.53557,1.7222,1.54161,0.44248,0.44861,0.42148,0.18081,1.97529,2.19515,1.96445,0.0034,0.0034,0.0034
202,32016.6,1.52229,1.68545,1.52689,0.44795,0.44583,0.42128,0.18112,1.97739,2.19391,1.96642,0.003367,0.003367,0.003367
203,32174.5,1.50691,1.65476,1.51892,0.4478,0.44306,0.42002,0.18117,1.97937,2.19341,1.96867,0.003334,0.003334,0.003334
204,32332.5,1.5043,1.66455,1.5228,0.44949,0.44306,0.42059,0.18133,1.98386,2.19225,1.97209,0.003301,0.003301,0.003301
205,32490.4,1.51001,1.6936,1.52419,0.45016,0.44444,0.42046,0.18112,1.98611,2.19034,1.97464,0.003268,0.003268,0.003268
206,32648.5,1.51319,1.68917,1.53229,0.46205,0.44496,0.4209,0.18094,1.98757,2.18815,1.97568,0.003235,0.003235,0.003235
207,32806.6,1.4924,1.6419,1.50271,0.44802,0.45,0.42049,0.18025,1.98839,2.18838,1.97699,0.003202,0.003202,0.003202
208,32964.3,1.4982,1.64345,1.50806,0.44287,0.45,0.42005,0.18018,1.99121,2.18655,1.97919,0.003169,0.003169,0.003169
209,33122.3,1.49281,1.63942,1.50458,0.44132,0.45,0.42049,0.18019,1.99461,2.18584,1.98274,0.003136,0.003136,0.003136
210,33280.2,1.50206,1.64675,1.51105,0.4495,0.44861,0.41887,0.17979,1.99648,2.1859,1.98419,0.003103,0.003103,0.003103
211,33438.1,1.47527,1.59507,1.49475,0.4534,0.4447,0.41902,0.17926,1.9983,2.18304,1.98538,0.00307,0.00307,0.00307
212,33600.6,1.47788,1.60622,1.49599,0.45703,0.44167,0.41957,0.17922,2.00059,2.18193,1.98778,0.003037,0.003037,0.003037
213,33774.3,1.47192,1.5877,1.49336,0.4592,0.4375,0.41978,0.17944,2.00371,2.18043,1.99014,0.003004,0.003004,0.003004
214,33946.8,1.46532,1.57574,1.49609,0.45744,0.43913,0.41952,0.17914,2.00512,2.17919,1.9908,0.002971,0.002971,0.002971
215,34120.3,1.47564,1.58288,1.50267,0.45968,0.43956,0.41893,0.1793,2.00757,2.17977,1.9921,0.002938,0.002938,0.002938
216,34293.8,1.45265,1.57866,1.47828,0.45891,0.43889,0.41862,0.17941,2.01124,2.17952,1.99471,0.002905,0.002905,0.002905
217,34467.2,1.47393,1.59793,1.49249,0.46177,0.4375,0.41795,0.17895,2.01512,2.17778,1.99679,0.002872,0.002872,0.002872
218,34638.6,1.46948,1.54939,1.48291,0.4637,0.43611,0.41784,0.17935,2.01966,2.17288,1.99859,0.002839,0.002839,0.002839
219,34811.7,1.45676,1.52992,1.47238,0.45814,0.43611,0.41781,0.17942,2.0244,2.17053,2.00354,0.002806,0.002806,0.002806
220,34981.4,1.44426,1.55594,1.47303,0.46833,0.43554,0.41773,0.17868,2.02665,2.16842,2.0047,0.002773,0.002773,0.002773
221,35149.3,1.43316,1.53384,1.46779,0.45569,0.4375,0.41711,0.17771,2.02963,2.16905,2.00704,0.00274,0.00274,0.00274
222,35316.3,1.44037,1.51248,1.46951,0.45548,0.44028,0.41642,0.17803,2.03167,2.16775,2.00893,0.002707,0.002707,0.002707
223,35478.6,1.42217,1.51749,1.45637,0.45379,0.43889,0.41596,0.17794,2.03253,2.16851,2.01021,0.002674,0.002674,0.002674
224,35639.9,1.42448,1.48739,1.46027,0.45464,0.43889,0.41537,0.17706,2.03599,2.16867,2.01202,0.002641,0.002641,0.002641
225,35799.9,1.42473,1.49652,1.44737,0.45282,0.43889,0.41651,0.17682,2.03842,2.16875,2.01356,0.002608,0.002608,0.002608
226,35961.2,1.40761,1.50031,1.44344,0.46856,0.43471,0.41619,0.17681,2.03989,2.1698,2.01657,0.002575,0.002575,0.002575
227,36124.7,1.42146,1.48968,1.45311,0.46951,0.43472,0.41624,0.17686,2.04333,2.1702,2.01913,0.002542,0.002542,0.002542
228,36289.3,1.41099,1.47171,1.44384,0.45758,0.44028,0.41436,0.17585,2.04494,2.17294,2.02084,0.002509,0.002509,0.002509
229,36460.4,1.41119,1.45374,1.44748,0.45831,0.44028,0.41398,0.17557,2.04658,2.17492,2.02264,0.002476,0.002476,0.002476
230,36634.9,1.3826,1.4599,1.42284,0.45851,0.43984,0.41293,0.17518,2.05082,2.17852,2.02614,0.002443,0.002443,0.002443
231,36811.5,1.41083,1.45376,1.4444,0.45762,0.43889,0.41288,0.17488,2.05214,2.17406,2.02704,0.00241,0.00241,0.00241
232,36988,1.40082,1.43604,1.43212,0.45644,0.43736,0.41264,0.17461,2.05645,2.177,2.03055,0.002377,0.002377,0.002377
233,37157.2,1.39297,1.43951,1.42711,0.46752,0.42778,0.41232,0.17463,2.05898,2.17713,2.03187,0.002344,0.002344,0.002344
234,37326.2,1.37791,1.39358,1.41772,0.46559,0.43194,0.41233,0.17427,2.06136,2.17658,2.03373,0.002311,0.002311,0.002311
235,37494.7,1.38722,1.40844,1.41244,0.46571,0.43194,0.41185,0.17417,2.06265,2.17819,2.03572,0.002278,0.002278,0.002278
236,37661.7,1.38014,1.39865,1.41425,0.46582,0.43194,0.41235,0.17398,2.06431,2.17722,2.03646,0.002245,0.002245,0.002245
237,37825.2,1.38845,1.41107,1.41061,0.45781,0.43977,0.41291,0.17407,2.06669,2.17972,2.03859,0.002212,0.002212,0.002212
238,37991.7,1.36352,1.38457,1.40492,0.45618,0.43889,0.41155,0.17383,2.06917,2.17949,2.04055,0.002179,0.002179,0.002179
239,38166.8,1.35152,1.35249,1.3944,0.45752,0.4375,0.41197,0.17369,2.0731,2.17916,2.0433,0.002146,0.002146,0.002146
240,38344.1,1.35792,1.3893,1.40621,0.45704,0.43724,0.41177,0.17381,2.07464,2.18126,2.04476,0.002113,0.002113,0.002113
241,38521.8,1.35317,1.34378,1.39166,0.45718,0.43889,0.41174,0.17373,2.07763,2.18106,2.04569,0.00208,0.00208,0.00208
242,38698.4,1.34679,1.34553,1.39435,0.45494,0.43889,0.41119,0.17355,2.08113,2.18432,2.0483,0.002047,0.002047,0.002047
243,38876.8,1.35464,1.31405,1.39395,0.45254,0.43889,0.40967,0.17362,2.0839,2.1876,2.05011,0.002014,0.002014,0.002014
244,39055.7,1.33608,1.3353,1.38549,0.45352,0.44167,0.40999,0.17337,2.08702,2.18985,2.05285,0.001981,0.001981,0.001981
245,39234.6,1.34382,1.3161,1.38618,0.45802,0.44249,0.41186,0.17353,2.08936,2.19288,2.05402,0.001948,0.001948,0.001948
246,39412.3,1.33889,1.34155,1.38024,0.45544,0.44444,0.41318,0.17417,2.09093,2.19582,2.05497,0.001915,0.001915,0.001915
247,39583,1.31873,1.31178,1.36978,0.45019,0.44444,0.41063,0.17289,2.09402,2.19639,2.05742,0.001882,0.001882,0.001882
248,39755.2,1.30473,1.28731,1.35971,0.44967,0.44444,0.41011,0.17244,2.09827,2.19707,2.05996,0.001849,0.001849,0.001849
249,39932.7,1.33077,1.29573,1.37819,0.44867,0.44306,0.40856,0.17219,2.10279,2.19764,2.06231,0.001816,0.001816,0.001816
250,40110.2,1.30536,1.2678,1.3706,0.45083,0.44167,0.40835,0.17247,2.10516,2.20036,2.06405,0.001783,0.001783,0.001783
251,40287.7,1.28619,1.28249,1.35133,0.456,0.44356,0.40888,0.17223,2.10715,2.20353,2.06596,0.00175,0.00175,0.00175
252,40458.6,1.29229,1.269,1.35149,0.45299,0.44167,0.40645,0.17153,2.11064,2.20585,2.06838,0.001717,0.001717,0.001717
253,40634.7,1.28147,1.21434,1.34052,0.45417,0.44167,0.40624,0.17146,2.11236,2.21074,2.07039,0.001684,0.001684,0.001684
254,40814.8,1.29988,1.27878,1.35832,0.45662,0.44235,0.40563,0.17155,2.11615,2.21051,2.07228,0.001651,0.001651,0.001651
255,40994.7,1.28414,1.25722,1.34699,0.4537,0.4375,0.40332,0.17136,2.11787,2.21268,2.07328,0.001618,0.001618,0.001618
256,41172.4,1.28206,1.20753,1.34519,0.45483,0.43611,0.40273,0.17124,2.11955,2.21393,2.0747,0.001585,0.001585,0.001585
257,41354.3,1.26467,1.22696,1.33378,0.46503,0.42778,0.40195,0.17082,2.12152,2.21608,2.07638,0.001552,0.001552,0.001552
258,41537,1.27164,1.2386,1.33152,0.47064,0.425,0.40221,0.17061,2.12535,2.21616,2.0781,0.001519,0.001519,0.001519
259,41714.1,1.26428,1.18561,1.33596,0.46908,0.425,0.40126,0.17063,2.12825,2.21782,2.07933,0.001486,0.001486,0.001486
260,41890,1.25314,1.17786,1.32454,0.46693,0.42458,0.40087,0.17048,2.13229,2.21804,2.08254,0.001453,0.001453,0.001453
261,42066.8,1.24316,1.18851,1.31345,0.46885,0.41944,0.40303,0.17017,2.13431,2.21875,2.08306,0.00142,0.00142,0.00142
262,42243.7,1.24935,1.16746,1.32027,0.46978,0.4125,0.39962,0.16997,2.13597,2.22345,2.08441,0.001387,0.001387,0.001387
263,42420.9,1.23506,1.14866,1.31131,0.46039,0.42422,0.40001,0.16977,2.13849,2.22513,2.08465,0.001354,0.001354,0.001354
264,42595.5,1.24429,1.15208,1.31764,0.45746,0.42361,0.39814,0.16995,2.1412,2.22732,2.08672,0.001321,0.001321,0.001321
265,42773.3,1.23907,1.1606,1.30868,0.45773,0.42322,0.39928,0.17007,2.14501,2.22876,2.08771,0.001288,0.001288,0.001288
266,42953.6,1.21567,1.13084,1.29246,0.45924,0.41667,0.399,0.17006,2.14691,2.23188,2.09006,0.001255,0.001255,0.001255
